ID,材料分类,排名,周最大供货量,满足率
S229,A,2,1478.695833,0.98611223
S282,A,6,705.5833333,1.004800304
S352,A,9,370.9625,0.996987682
S275,A,10,660.6375,1.002548214
S329,A,11,652.1583333,1.001074512
S143,A,20,344.9458333,0.875404462
S266,A,24,27.1625,1.159964413
S123,A,31,26.87083333,1.055482815
S007,A,33,28.95,1.034544372
S307,A,37,325.8166667,0.766755244
S005,A,41,28.8,1.057204038
S189,A,42,37.05,1.022421525
S273,A,43,39.51666667,0.882396725
S114,A,44,45.54583333,0.749571419
S292,A,45,38.16666667,0.828060025
S078,A,47,35.6375,0.843740752
S291,A,48,33.26666667,0.592900639
S154,A,49,31.80833333,0.746674491
S221,A,50,1.633333333,1.328813559
S395,A,52,316.0125,0.719327364
S178,A,55,0.679166667,1.336065574
S030,A,64,0.675,1.285714286
S237,A,65,1.366666667,1.296442688
S053,A,71,0.320833333,1.283333333
S106,A,75,0.320833333,1.262295082
S075,A,80,1.625,1.185410334
S026,A,85,0.116666667,1.217391304
S318,A,86,1.441666667,1.157190635
S152,A,87,1.658333333,1.102493075
S336,A,91,0.6,1.125
S254,A,104,0.670833333,1.052287582
S128,A,105,0.554166667,1.055555556
S208,A,109,36.4875,0.588191832
S122,A,112,0.304166667,1.057971014
S203,A,113,0.15,1.058823529
S348,A,119,385.0875,0.553058184
S381,A,121,0.8375,0.975728155
S062,A,123,0.3125,0.986842105
S337,A,124,0.15,1
S027,A,127,0.3375,0.975903614
S016,A,128,0.154166667,0.973684211
S065,A,132,0.7875,0.875
S150,A,133,7.525,0.329081633
S002,A,134,1.1375,0.883495146
S296,A,135,0.258333333,0.925373134
S159,A,136,0.895833333,0.849802372
S116,A,138,0.3125,0.862068966
S046,A,139,0.820833333,0.887387387
S014,A,141,0.116666667,0.875
S052,A,148,0.225,0.857142857
S132,A,149,0.2625,0.84
S226,A,152,0.833333333,0.803212851
S332,A,155,1.270833333,0.794270833
S300,A,156,1.245833333,0.776623377
S217,A,159,0.579166667,0.720207254
S121,A,162,0.570833333,0.744565217
S255,A,164,0.15,0.75
S087,A,165,0.266666667,0.744186047
S017,A,169,0.575,0.711340206
S015,A,171,0.116666667,0.001004196
S049,A,173,0.158333333,0.716981132
S204,A,176,0.3375,0.680672269
S035,A,178,0.6,0.637168142
S196,A,179,0.166666667,0.677966102
S288,A,182,0.125,0.652173913
S071,A,186,0.795833333,0.582317073
S167,A,187,0.566666667,0.604444444
S209,A,189,0.679166667,0.592727273
S227,A,190,1.058333333,0.582568807
S363,A,194,0.233333333,0.583333333
S082,A,196,0.241666667,0.58
S089,A,197,0.5875,0.552941176
S091,A,198,0.304166667,0.579365079
S312,A,199,0.320833333,0.578947368
S115,A,200,1.658333333,0.503160556
S281,A,204,0.15,0.52173913
S157,A,207,1.645833333,0.011867564
S056,A,208,0.116666667,0.509090909
S243,A,209,0.2625,0.484615385
S042,A,215,0.575,0.456953642
S187,A,216,0.308333333,0.4625
S022,A,219,0.583333333,0.445859873
S144,A,221,0.116666667,0.444444444
S066,A,222,1.616666667,0.412327311
S304,A,224,0.65,0.456140351
S274,A,227,0.320833333,0.430167598
S170,A,229,0.5625,0.399408284
S038,A,234,0.15,0.382978723
S127,A,236,0.658333333,0.325102881
S163,A,238,1.05,0.309202454
S104,A,241,0.645833333,0.333333333
S119,A,245,0.120833333,0.329545455
S064,A,246,1.654166667,0.031737149
S097,A,249,0.2625,0.003967254
S265,A,256,0.5875,0.243944637
S109,A,257,0.15,0.276923077
S072,A,259,0.116666667,0.266666667
S269,A,266,0.879166667,0.251789976
S283,A,267,0.125,0.23255814
S021,A,268,0.333333333,0.24691358
S102,A,276,0.545833333,0.211631664
S394,A,281,0.6,0.167832168
S205,A,284,0.25,0.173410405
S158,A,285,0.154166667,0.003643525
S130,A,287,0.25,0.175953079
S211,A,288,0.241666667,0.181818182
S370,A,291,0.241666667,0.157181572
S278,A,297,0.258333333,0.143851508
S242,A,299,0.329166667,0.131229236
S184,A,300,0.304166667,0.124361158
S198,A,306,0.225,0.116129032
S185,A,308,0.266666667,0.128514056
S156,A,311,0.116666667,0.108108108
S293,A,312,0.8,0.14339059
S219,A,314,0.15,0.10619469
S043,A,315,0.1625,0.111747851
S155,A,317,0.166666667,0.096618357
S012,A,318,0.120833333,0.094155844
S165,A,321,0.3125,0.113464448
S317,A,324,0.120833333,0.093247588
S096,A,327,0.304166667,0.003987764
S101,A,328,0.233333333,0.070886076
S145,A,335,0.2625,0.024676851
S251,A,339,0.15,0.017249641
S051,A,340,0.120833333,0.00915404
S181,A,345,0.15,0.062068966
S372,A,352,0.120833333,0.036386449
S099,A,355,0.25,0.042462845
S341,A,357,0.2625,0.043871866
S289,A,358,0.166666667,0.033500838
S093,A,361,0.15,0.029654036
S323,A,369,0.120833333,0.021029732
S309,A,370,0.154166667,0.032541777
S083,A,371,0.116666667,0.012727273
S250,A,372,0.145833333,0.053435115
S148,A,374,0.245833333,0.057392996
S299,A,385,0.258333333,0.054964539
S373,A,387,0.125,0.038809832
S396,A,389,0.158333333,0.036121673
S295,A,391,0.233333333,0.045454545
S350,A,393,0.1625,0.03163017
S302,A,394,0.245833333,0.038713911
S195,A,396,0.15,0.023872679
S354,A,399,0.2375,0.024358974
S285,A,401,0.145833333,0.005285412
S201,A,402,341.6208333,0.235128291
S140,B,1,1258.529167,0.627821901
S108,B,4,1003.958333,0.8876568
S340,B,5,714.275,0.996662791
S131,B,7,572.9666667,0.986590712
S308,B,12,570.825,0.735449167
S139,B,15,632.7583333,0.854366856
S330,B,18,569.3833333,0.789987282
S031,B,21,171.6958333,1.016101987
S040,B,25,132.9375,0.985939431
S364,B,26,119.8458333,0.990802618
S367,B,30,109.7291667,0.952785818
S346,B,32,96.83333333,0.940509915
S055,B,35,100.1708333,0.747659773
S338,B,46,125.4541667,0.788771875
S174,B,51,1.441666667,1.367588933
S175,B,53,1.525,1.345588235
S169,B,54,1.495833333,1.344569288
S324,B,59,1.766666667,1.250737463
S141,B,60,1.75,1.228070175
S092,B,63,1.658333333,1.236024845
S310,B,66,1.691666667,1.226586103
S392,B,70,1.716666667,1.218934911
S050,B,72,0.275,1.294117647
S172,B,73,1.483333333,1.223367698
S098,B,77,1.720833333,1.24024024
S256,B,79,1.7125,1.098930481
S036,B,81,0.516666667,1.24
S193,B,82,0.420833333,1.202380952
S216,B,83,1.770833333,1.115485564
S188,B,84,0.2125,1.214285714
S358,B,89,0.141666667,1.172413793
S353,B,92,0.283333333,1.152542373
S225,B,93,0.133333333,1.142857143
S286,B,98,0.279166667,1.116666667
S386,B,100,0.495833333,1.081818182
S321,B,101,0.1375,1.1
S264,B,103,0.133333333,1.103448276
S298,B,108,0.2125,1.0625
S303,B,114,0.225,1.018867925
S073,B,116,0.133333333,1.032258065
S081,B,118,0.204166667,1.020833333
S360,B,125,1.6875,0.935334873
S316,B,126,0.2875,0.985714286
S054,B,129,1.720833333,0.826
S232,B,137,0.495833333,0.862318841
S233,B,145,0.745833333,0.809954751
S397,B,146,0.216666667,0.866666667
S180,B,150,0.216666667,0.852459016
S088,B,154,1.770833333,0.740418118
S366,B,160,0.204166667,0.777777778
S028,B,161,0.441666667,0.726027397
S120,B,166,0.1375,0.75
S258,B,167,1.725,0.672077922
S048,B,174,0.270833333,0.698924731
S105,B,175,0.5,0.677966102
S147,B,180,0.45,0.683544304
S112,B,183,0.5125,0.650793651
S190,B,184,0.2,0.64
S235,B,185,0.7875,0.613636364
S197,B,188,1.475,0.60306644
S328,B,193,0.1375,0.589285714
S018,B,195,0.275,0.584070796
S024,B,201,0.516666667,0.527659574
S124,B,202,0.141666667,0.53968254
S142,B,203,0.504166667,0.508403361
S327,B,205,0.145833333,0.52238806
S240,B,206,0.204166667,0.49
S069,B,210,0.704166667,0.45308311
S077,B,211,0.533333333,0.481203008
S376,B,213,1.491666667,0.477970628
S393,B,218,0.1375,0.458333333
S146,B,225,1.466666667,0.442211055
S259,B,226,0.279166667,0.424050633
S057,B,230,0.208333333,0.41322314
S019,B,231,0.454166667,0.393501805
S202,B,233,1.666666667,0.347222222
S322,B,235,0.283333333,0.365591398
S224,B,240,0.45,0.367346939
S311,B,242,0.270833333,0.349462366
S401,B,244,0.279166667,0.335
S010,B,247,0.708333333,0.295138889
S095,B,252,0.133333333,0.293577982
S260,B,254,0.766666667,0.317789292
S047,B,255,0.275,0.007466063
S390,B,261,0.275,0.256809339
S388,B,262,0.475,0.223091977
S335,B,263,0.208333333,0.004176412
S079,B,264,0.266666667,0.236162362
S344,B,265,0.225,0.238938053
S166,B,269,0.133333333,0.222222222
S378,B,270,0.204166667,0.225806452
S125,B,271,0.204166667,0.208510638
S045,B,273,0.129166667,0.210884354
S399,B,274,0.270833333,0.227272727
S001,B,275,0.204166667,0.212121212
S375,B,277,0.466666667,0.224899598
S138,B,278,1.7125,0.153015637
S385,B,279,0.220833333,0.204633205
S191,B,280,1.4625,0.075064157
S249,B,286,0.279166667,0.183561644
S280,B,290,0.529166667,0.146482122
S199,B,292,0.541666667,0.084525358
S389,B,295,0.2875,0.131428571
S333,B,298,0.741666667,0.116415958
S117,B,301,0.5125,0.037037037
S248,B,304,0.2875,0.133462282
S176,B,305,0.2125,0.131105398
S134,B,316,0.216666667,0.100970874
S276,B,319,0.216666667,0.071232877
S214,B,320,0.216666667,0.095764273
S058,B,322,0.141666667,0.095238095
S315,B,323,0.133333333,0.072727273
S272,B,325,0.133333333,0.097560976
S004,B,329,0.266666667,0.089761571
S029,B,330,0.283333333,0.069672131
S287,B,333,0.275,0.07875895
S387,B,336,0.1375,0.016105417
S319,B,337,0.275,0.045865184
S371,B,338,0.225,0.018698061
S238,B,349,0.133333333,0.023988006
S400,B,351,0.220833333,0.065756824
S200,B,356,0.270833333,0.067079463
S137,B,362,0.1375,0.006148686
S009,B,365,0.129166667,0.043356643
S179,B,367,0.129166667,0.049128368
S230,B,373,0.216666667,0.032786885
S215,B,375,0.208333333,0.0427716
S168,B,376,0.129166667,0.019533711
S111,B,377,0.129166667,0.029245283
S153,B,381,0.729166667,0.06576475
S261,B,384,0.2875,0.053117783
S402,B,386,0.145833333,0.036534447
S222,B,392,0.133333333,0.026272578
S118,B,395,0.275,0.03514377
S361,C,3,1367,0.983889735
S374,C,8,205.1,1.012568654
S268,C,13,540.775,1.003215583
S306,C,14,525.4,1.003309994
S356,C,16,542.9458333,0.982618466
S194,C,17,422.3541667,0.999852042
S247,C,19,236.2416667,1.012464286
S365,C,22,173.4625,1.016381836
S284,C,23,194.1541667,1.023772383
S294,C,27,78.50833333,1.033514344
S218,C,28,64.5125,1.050407056
S080,C,29,80.15416667,1.018908898
S244,C,34,68.35833333,0.965002059
S151,C,36,810.4083333,0.729796255
S126,C,38,198.0833333,0.359375591
S037,C,39,211.1916667,0.748939817
S003,C,40,54.74166667,0.920092443
S342,C,56,0.933333333,1.272727273
S113,C,57,1.604166667,1.237942122
S076,C,58,1.566666667,1.362318841
S206,C,61,0.129166667,1.347826087
S253,C,62,0.929166667,1.252808989
S314,C,67,6.958333333,0.542207792
S213,C,68,1.025,1.315508021
S149,C,69,1.045833333,1.224390244
S067,C,74,0.970833333,1.28021978
S025,C,76,1.5625,1.213592233
S086,C,78,74.7875,0.595619711
S133,C,88,0.295833333,1.163934426
S379,C,90,1.0375,1.136986301
S362,C,94,0.379166667,1.1375
S357,C,95,0.916666667,1.067961165
S351,C,96,0.183333333,1.128205128
S110,C,97,1.775,1.004716981
S305,C,99,0.116666667,1.12
S044,C,102,0.125,1.111111111
S301,C,106,0.370833333,1.05952381
S135,C,107,0.3625,1.074074074
S383,C,110,0.6125,1.020833333
S033,C,111,0.125,1.071428571
S011,C,115,0.354166667,1.011904762
S060,C,117,0.358333333,0.966292135
S270,C,120,0.383333333,1.010989011
S013,C,122,0.183333333,1
S263,C,130,1.779166667,0.904661017
S210,C,131,65.39166667,0.45354449
S236,C,140,0.116666667,0.875
S349,C,142,0.175,0.875
S345,C,143,0.3625,0.852941176
S239,C,144,1.791666667,0.820610687
S384,C,147,0.370833333,0.831775701
S271,C,151,1.029166667,0.769470405
S377,C,153,0.295833333,0.835294118
S182,C,157,0.6375,0.768844221
S129,C,158,6.354166667,0.633832086
S347,C,163,0.341666667,0.76635514
S032,C,168,0.295833333,0.731958763
S171,C,170,0.3,0.72
S160,C,172,0.1875,0.000717841
S368,C,177,0.358333333,0.666666667
S245,C,181,1.608333333,0.670138889
S074,C,191,54.37916667,0.399871316
S090,C,192,0.604166667,0.591836735
S070,C,212,0.191666667,0.494623656
S359,C,214,0.358333333,0.464864865
S085,C,217,0.191666667,0.46
S313,C,220,1.6,0.376840039
S008,C,223,0.170833333,0.436170213
S039,C,228,1.604166667,0.407407407
S020,C,232,0.3,0.393442623
S023,C,237,6.795833333,0.218457005
S041,C,239,0.295833333,0.349753695
S161,C,243,0.195833333,0.001883768
S177,C,248,0.195833333,0.324137931
S279,C,250,0.370833333,0.313380282
S207,C,251,0.641666667,0.276978417
S331,C,253,0.291666667,0.318181818
S246,C,258,0.183333333,0.00323363
S186,C,260,1.570833333,0.145954317
S257,C,272,0.129166667,0.206666667
S398,C,282,0.170833333,0.206030151
S173,C,283,1.55,0.202173913
S094,C,289,0.170833333,0.16872428
S068,C,293,0.175,0.145833333
S084,C,294,0.291666667,0.127272727
S325,C,296,0.304166667,0.145708583
S183,C,302,0.116666667,0.003183989
S320,C,303,0.175,0.125373134
S382,C,307,0.116666667,0.114754098
S267,C,309,0.341666667,0.116312057
S223,C,310,0.116666667,0.114754098
S220,C,313,0.291666667,0.112359551
S380,C,326,0.354166667,0.042288557
S339,C,331,0.183333333,0.076788831
S164,C,332,0.3,0.081447964
S231,C,334,0.129166667,0.007370423
S252,C,341,0.2,0.032476319
S391,C,342,0.291666667,0.077777778
S343,C,343,0.116666667,0.009327115
S334,C,344,0.616666667,0.066907776
S107,C,346,0.2875,0.046277666
S136,C,347,0.175,0.049008168
S369,C,348,0.608333333,0.069194313
S006,C,350,0.125,0.064935065
S297,C,353,0.129166667,0.006340765
S100,C,354,0.175,0.028571429
S241,C,359,0.116666667,0.041791045
S326,C,360,0.341666667,0.0673788
S212,C,363,0.129166667,0.031472081
S059,C,364,0.195833333,0.059193955
S063,C,366,0.125,0.031779661
S103,C,368,0.125,0.011853023
S061,C,378,0.35,0.062874251
S290,C,379,0.129166667,0.010381782
S262,C,380,0.116666667,0.033412888
S355,C,382,0.129166667,0.032631579
S228,C,383,0.629166667,0.039159751
S192,C,388,0.125,0.036231884
S162,C,390,0.116666667,0.028282828
S277,C,397,0.125,0.017761989
S034,C,398,0.125,0.017584994
S234,C,400,0.1875,0.012451577
